Time,Mass
2018,56.894
2020,56.892
2022,56.892
2024,56.892
2026,56.892
2028,56.892
2030,56.924
2032,56.961
2034,56.999
2036,57.038
2038,57.078
2040,57.078
2042,57.117
2044,57.117
2046,57.117
2048,57.117
2050,57.117
2052,57.117
2054,57.117
2056,57.139
2058,57.138
2060,57.138
2062,57.137
2064,57.137
2066,57.137
2068,57.137
2070,57.137
2072,57.137
2074,57.137
2076,57.136
2078,57.138
2080,57.138
2082,57.138
2084,57.137
2086,57.137
2088,57.137
2090,57.136
2092,57.136
2094,57.136
2096,57.136
2098,57.136
2100,57.136
2102,57.135
2104,57.135
2106,57.135
2108,57.135
2110,57.135
2112,57.135
2114,57.134
2116,57.134
2118,57.134
2120,57.133
2122,57.133
2124,57.133
2126,57.133
2128,57.133
2130,57.133
2132,57.133
2134,57.133
2136,57.134
2138,57.132
2140,57.132
2142,57.132
2144,57.132
2146,57.131
2148,57.163
2150,57.199
2152,57.238
2154,57.274
2156,57.274
2158,57.274
2160,57.307
2162,57.307
2164,57.307
2166,57.307
2168,57.306
2170,57.306
2172,57.306
2174,57.306
2176,57.306
2178,57.306
2180,57.305
2182,57.305
2184,57.305
2186,57.305
2188,57.304
2190,57.307
2192,57.307
2194,57.306
2196,57.306
2198,57.306
2200,57.305
2202,57.304
2204,57.304
2206,57.304
2208,57.304
2210,57.304
2212,57.304
2214,57.303
2216,57.303
2218,57.303
2220,57.303
2222,57.303
2224,57.303
2226,57.303
2228,57.303
2230,57.301
2232,57.301
2234,57.301
2236,57.301
2238,57.301
2240,57.301
2242,57.301
2244,57.301
2246,57.301
2248,57.301
2250,57.301
2252,57.299
2254,57.299
2256,57.299
2258,57.299
2260,57.299
2262,57.331
2264,57.366
2266,57.403
2268,57.441
2270,57.48
2272,57.48
2274,57.48
2276,57.507
2278,57.507
2280,57.507
2282,57.506
2284,57.506
2286,57.506
2288,57.506
2290,57.506
2292,57.52
2294,57.52
2296,57.52
2298,57.52
2300,57.519
2302,57.519
2304,57.519
2306,57.521
2308,57.521
2310,57.52
2312,57.52
2314,57.52
2316,57.519
2318,57.519
2320,57.519
2322,57.519
2324,57.518
2326,57.518
2328,57.518
2330,57.518
2332,57.518
2334,57.518
2336,57.518
2338,57.518
2340,57.518
2342,57.518
2344,57.517
2346,57.517
2348,57.516
2350,57.516
2352,57.516
2354,57.516
2356,57.516
2358,57.516
2360,57.516
2362,57.516
2364,57.516
2366,57.516
2368,57.516
2370,57.514
2372,57.513
2374,57.513
2376,57.513
2378,57.547
2380,57.583
2382,57.62
2384,57.62
2386,57.658
2388,57.697
2390,57.697
2392,57.731
2394,57.731
2396,57.731
2398,57.731
2400,57.731
2402,57.731
2404,57.731
2406,57.731
2408,57.729
2410,57.729
2412,57.729
2414,57.729
2416,57.729
2418,57.729
2420,57.729
2422,57.729
2424,57.731
2426,57.73
2428,57.73
2430,57.729
2432,57.729
2434,57.729
2436,57.729
2438,57.729
2440,57.729
2442,57.728
2444,57.728
2446,57.728
2448,57.727
2450,57.727
2452,57.727
2454,57.727
2456,57.727
2458,57.727
2460,57.726
2462,57.726
2464,57.726
2466,57.726
2468,57.726
2470,57.726
2472,57.725
2474,57.725
2476,57.725
2478,57.725
2480,57.725
2482,57.725
2484,57.723
2486,57.722
2488,57.722
2490,57.723
2492,57.756
2494,57.792
2496,57.82
2498,57.857
2500,57.896
2502,57.976
2504,57.976
2506,58.017
2508,58.017
2510,58.017
2512,58.017
2514,58.036
2516,58.036
2518,58.036
2520,58.036
2522,58.036
2524,58.035
2526,58.035
2528,58.035
2530,58.035
2532,58.035
2534,58.035
2536,58.037
2538,58.037
2540,58.037
2542,58.035
2544,58.035
2546,58.035
2548,58.034
2550,58.034
2552,58.033
2554,58.033
2556,58.033
2558,58.033
2560,58.033
2562,58.032
2564,58.032
2566,58.032
2568,58.032
2570,58.032
2572,58.032
2574,58.032
2576,58.032
2578,58.03
2580,58.029
2582,58.03
2584,58.029
2586,58.063
2588,58.101
2590,58.138
2592,58.138
2594,58.138
2596,58.167
2598,58.167
2600,58.167
2602,58.167
2604,58.167
2606,58.167
2608,58.167
2610,58.166
2612,58.18
2614,58.18
2616,58.18
2618,58.18
2620,58.18
2622,58.181
2624,58.182
2626,58.182
2628,58.18
2630,58.18
2632,58.182
2634,58.444
2636,58.444
2638,58.484
2640,58.483
2642,58.485
2644,58.484
2646,58.484
2648,58.483
2650,58.756
2652,58.757
2654,58.793
2656,58.793
2658,58.795
2660,58.795
2662,58.795
2664,58.795
2666,58.795
2668,58.924
2670,58.924
2672,58.961
2674,58.96
2676,58.964
2678,58.961
2680,58.961
2682,58.961
2684,58.961
2686,59.275
2688,59.275
2690,59.309
2692,59.309
2694,59.311
2696,59.311
2698,59.311
2700,59.309
2702,59.309
2704,59.538
2706,59.538
2708,59.571
2710,59.571
2712,59.574
2714,59.572
2716,59.571
2718,59.571
2720,59.981
2722,59.981
2724,60.016
2726,60.017
2728,60.015
2730,60.016
