ID,Sample,Texapon SB 3 KC,Plantapon ACG 50,Plantapon LC 7,Plantacare 818,Plantacare 2000,Dehyton MC,Dehyton PK 45,Dehyton ML,Dehyton AB 30,Plantapon Amino SCG-L,Plantapon Amino KG-L,Dehyquart A-CA,Luviquat Excellence,Dehyquart CC6,Dehyquart CC7 Benz,Salcare Super 7,Arlypon F,Arlypon TT,Water,Sample Density
104,S104,0,0,10.7,0,0,0,0,10.2,0,0,0,0,2.3,0,0,0,0,1.2,75.6,1.016
105,S105,0,0,10.7,0,0,0,0,0,12.2,0,0,0,1.9,0,0,0,0,2.8,72.4,1.01
106,S106,0,0,8.7,0,0,0,0,0,0,9.3,0,0,1.3,0,0,0,0,4.9,75.8,1.009
107,S107,0,0,12.2,0,0,0,0,0,0,0,11.6,0,2,0,0,0,0,3.1,71.1,1.011
108,S108,0,0,11.9,0,0,0,0,0,0,0,0,10.7,2.3,0,0,0,0,1.9,73.2,1.003
109,S109,0,0,0,10.8,12.9,0,0,0,0,0,0,0,1.8,0,0,0,0,3,71.5,1.022
110,S110,0,0,0,10.9,0,12,0,0,0,0,0,0,1.1,0,0,0,0,3.2,72.8,1.02
111,S111,0,0,0,9.4,0,0,8.9,0,0,0,0,0,2.3,0,0,0,0,1,78.4,1.015
112,S112,0,0,0,9.6,0,0,0,11.9,0,0,0,0,1.6,0,0,0,0,3.8,73.1,1.018
113,S113,0,0,0,10.4,0,0,0,0,8.2,0,0,0,1.6,0,0,0,0,4.6,75.2,1.011
114,S114,0,0,0,10.3,0,0,0,0,0,10,0,0,1.8,0,0,0,0,2.1,75.8,1.014
115,S115,0,0,0,12.3,0,0,0,0,0,0,10.1,0,2.4,0,0,0,0,4.8,70.4,1.014
116,S116,0,0,0,0,0,0,0,0,8.3,0,11.5,0,1.4,0,0,0,0,4.5,74.3,1.004
117,S117,0,0,0,0,10.1,9.6,0,0,0,0,0,0,3,0,0,0,0,1.6,75.7,1.019
118,S118,0,0,0,0,13,0,8.6,0,0,0,0,0,2.4,0,0,0,0,2.3,73.7,1.018
119,S119,0,0,0,0,9.1,0,0,11.3,0,0,0,0,2.9,0,0,0,0,3.1,73.6,1.018
120,S120,0,0,0,0,9.9,0,0,0,9.2,0,0,0,1.4,0,0,0,0,1.4,78.1,1.012
121,S121,0,0,0,0,10.5,0,0,0,0,9.9,0,0,2.6,0,0,0,0,3.4,73.6,1.015
122,S122,0,0,0,0,8.1,0,0,0,0,0,9,0,1.7,0,0,0,0,2.9,78.3,1.009
123,S123,0,0,0,0,11.2,0,0,0,0,0,0,11.2,2,0,0,0,0,1.3,74.3,1.005
124,S124,0,0,0,0,0,11.4,9.4,0,0,0,0,0,2.1,0,0,0,0,3.4,73.7,1.015
125,S125,0,0,0,0,0,8.8,0,11.6,0,0,0,0,3,0,0,0,0,2.3,74.3,1.018
