ID,Texapon SB 3 KC,Plantapon ACG 50,Plantapon LC 7,Plantacare 818,Plantacare 2000,Dehyton MC,Dehyton PK 45,Dehyton ML,Dehyton AB 30,Plantapon Amino SCG-L,Plantapon Amino KG-L,Dehyquart A-CA,Luviquat Excellence,Dehyquart CC6,Dehyquart CC7 Benz,Salcare Super 7,Arlypon F,Arlypon TT,Stability_Test,Turbidity/NTU,Viscosity_10/cP,Newtonian
216,0.00,0.00,0.00,10.28,13.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.01,0.00,0.00,0.00,0.00,1.97,TRUE,17,19,TRUE
217,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.51,0.00,0.00,0.00,11.93,1.05,0.00,0.00,0.00,1.14,0.00,TRUE,28,48,FALSE
218,0.00,11.78,6.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.43,0.00,0.00,0.00,2.51,0.00,FALSE,NA,NA,NA
219,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.13,8.19,0.00,1.08,0.00,0.00,0.00,2.65,0.00,FALSE,NA,NA,NA
220,0.00,0.00,9.40,0.00,0.00,0.00,0.00,12.26,0.00,0.00,0.00,0.00,1.80,0.00,0.00,0.00,1.65,0.00,FALSE,NA,NA,NA
221,0.00,0.00,0.00,0.00,11.27,0.00,0.00,12.13,0.00,0.00,0.00,0.00,2.24,0.00,0.00,0.00,2.07,0.00,FALSE,NA,NA,NA
222,6.30,10.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.03,0.00,0.00,0.00,3.79,0.00,FALSE,NA,NA,NA
223,5.86,0.00,9.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.64,0.00,0.00,0.00,2.89,0.00,FALSE,NA,NA,NA
224,0.00,0.00,0.00,0.00,0.00,0.00,11.23,0.00,0.00,0.00,0.00,11.49,2.92,0.00,0.00,0.00,3.98,0.00,FALSE,NA,NA,NA
225,0.00,0.00,7.86,0.00,0.00,10.05,0.00,0.00,0.00,0.00,0.00,0.00,1.78,0.00,0.00,0.00,2.35,0.00,FALSE,NA,NA,NA
226,0.00,0.00,0.00,7.28,0.00,0.00,0.00,6.63,0.00,0.00,0.00,0.00,1.48,0.00,0.00,0.00,2.23,0.00,FALSE,NA,NA,NA
227,0.00,0.00,12.96,0.00,0.00,0.00,11.95,0.00,0.00,0.00,0.00,0.00,2.16,0.00,0.00,0.00,4.04,0.00,FALSE,NA,NA,NA
228,0.00,0.00,8.17,0.00,0.00,0.00,0.00,0.00,0.00,7.98,0.00,0.00,2.41,0.00,0.00,0.00,3.79,0.00,FALSE,NA,NA,NA
229,0.00,0.00,0.00,0.00,8.60,0.00,0.00,0.00,0.00,10.81,0.00,0.00,2.00,0.00,0.00,0.00,4.96,0.00,FALSE,NA,NA,NA
230,0.00,9.78,0.00,0.00,8.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.19,0.00,0.00,0.00,3.26,0.00,FALSE,NA,NA,NA
231,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.41,11.02,0.00,0.00,0.00,2.33,0.00,0.00,0.00,3.03,0.00,TRUE,25,77,FALSE
232,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.92,11.85,1.29,0.00,0.00,0.00,4.89,0.00,FALSE,NA,NA,NA
233,0.00,0.00,0.00,6.93,12.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.43,0.00,0.00,0.00,3.45,0.00,TRUE,28,67,TRUE
234,0.00,0.00,0.00,9.21,0.00,12.07,0.00,0.00,0.00,0.00,0.00,0.00,2.57,0.00,0.00,0.00,2.73,0.00,FALSE,NA,NA,NA
235,0.00,0.00,11.08,0.00,0.00,0.00,0.00,0.00,9.28,0.00,0.00,0.00,1.45,0.00,0.00,0.00,1.64,0.00,FALSE,NA,NA,NA
236,8.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.22,0.00,1.97,0.00,0.00,0.00,4.67,0.00,FALSE,NA,NA,NA
237,0.00,0.00,0.00,0.00,0.00,0.00,10.79,0.00,0.00,0.00,13.18,0.00,1.32,0.00,0.00,0.00,4.19,0.00,FALSE,NA,NA,NA
238,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,8.48,0.00,1.58,0.00,0.00,0.00,3.43,0.00,FALSE,NA,NA,NA
239,0.00,0.00,0.00,0.00,0.00,12.48,0.00,7.62,0.00,0.00,0.00,0.00,2.07,0.00,0.00,0.00,4.92,0.00,FALSE,NA,NA,NA
